MM  DD  YYYY  HH  MM  SS    C     F   RH(%)   Pressure(mbar)  Altitude(m)
08  20  2019  14  13  51  28.2  82.8  46.90    1,007.3           7.98
08  20  2019  14  13  52  28.2  82.8  46.90    1,007.3           7.98
08  20  2019  14  13  52  28.2  82.8  47.02    1,007.3           7.94
08  20  2019  14  13  53  28.2  82.8  47.16    1,007.3           8.17
08  20  2019  14  13  54  28.2  82.8  47.14    1,007.3           7.97
08  20  2019  14  13  55  28.2  82.8  47.16    1,007.3           8.03
08  20  2019  14  13  56  28.2  82.8  46.97    1,007.3           8.03
08  20  2019  14  13  57  28.2  82.8  46.97    1,007.3           8.03
08  20  2019  14  13  57  28.2  82.8  46.87    1,007.3           8.01
08  20  2019  14  13  58  28.2  82.8  46.70    1,007.3           8.15
08  20  2019  14  13  59  28.2  82.8  46.73    1,007.3           8.04
08  20  2019  14  14  00  28.2  82.8  46.82    1,007.3           8.15
08  20  2019  14  14  01  28.2  82.8  46.86    1,007.3           7.84
08  20  2019  14  14  02  28.2  82.8  46.90    1,007.3           7.90
08  20  2019  14  14  03  28.2  82.8  46.74    1,007.3           8.01
08  20  2019  14  14  04  28.2  82.8  46.66    1,007.3           7.86
08  20  2019  14  14  05  28.2  82.8  46.54    1,007.3           8.12
08  20  2019  14  14  06  28.2  82.8  46.54    1,007.3           8.10
08  20  2019  14  14  07  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.61    1,007.3           7.96
08  20  2019  14  14  08  28.2  82.8  46.64    1,007.3           7.73
08  20  2019  14  14  09  28.2  82.8  46.63    1,007.3           7.94
08  20  2019  14  14  10  28.2  82.8  46.59    1,007.3           8.05
08  20  2019  14  14  11  28.2  82.8  46.76    1,007.3           7.96
08  20  2019  14  14  12  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.69    1,007.3           8.05
08  20  2019  14  14  13  28.2  82.8  46.87    1,007.3           8.08
08  20  2019  14  14  14  28.2  82.8  46.93    1,007.3           8.15
08  20  2019  14  14  15  28.2  82.8  46.89    1,007.3           7.96
08  20  2019  14  14  16  28.2  82.8  46.79    1,007.3           8.04
08  20  2019  14  14  17  28.2  82.8  46.71    1,007.3           7.95
08  20  2019  14  14  18  28.2  82.8  46.63    1,007.3           8.17
08  20  2019  14  14  19  28.2  82.8  46.66    1,007.3           8.05
